SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,8308 Flower Ave #303,Takoma Park,MD,20912,209000,1,1.0,TAKOMA PARK,887,,1935,38,236,472,Active,,,https://www.redfin.com/MD/Takoma-Park/8308-Flower-Ave-20912/unit-303/home/11201456,BRIGHT MLS,MDMC2021738,N,Y,38.993175,-77.0026289
MLS Listing,,Single Family Residential,2430 Lyttonsville Rd,Silver Spring,MD,20910,959900,5,6.0,P & B ADD LINDEN,3268,27731,1987,39,294,,Active,,,https://www.redfin.com/MD/Silver-Spring/2430-Lyttonsville-Rd-20910/home/11131837,BRIGHT MLS,MDMC2022198,N,Y,39.0008289,-77.0493629
MLS Listing,,Single Family Residential,8707 Geren Rd,Silver Spring,MD,20901,549995,4,2.0,FOREST HILLS,1955,9673,1938,39,281,,Active,,,https://www.redfin.com/MD/Silver-Spring/8707-Geren-Rd-20901/home/11064383,BRIGHT MLS,MDMC2020586,N,Y,38.998251,-77.0051435
MLS Listing,,Townhouse,3818 Chesterwood Dr #3818,Silver Spring,MD,20906,284000,2,2.0,MONTGOMERY CHASE CODM,1256,,1983,40,226,187,Active,,,https://www.redfin.com/MD/Aspen-Hill/3818-Chesterwood-Dr-20906/unit-3818/home/11210502,BRIGHT MLS,MDMC2021894,N,Y,39.0873068,-77.0766382
MLS Listing,,Single Family Residential,513 Cannon Rd,Silver Spring,MD,20904,580000,6,3.5,WOODLAWN TERRACE,1954,10534,1971,43,297,,Active,,,https://www.redfin.com/MD/Silver-Spring/901-Cannon-Rd-20904/home/10577209,BRIGHT MLS,MDMC2021304,N,Y,39.068788,-76.994141
MLS Listing,,Townhouse,3210 Gleneagles Dr Unit 109-F,Silver Spring,MD,20906,199900,2,3.0,ROSSMOOR MUTUAL #8,1600,,1970,43,125,787,Active,,,https://www.redfin.com/MD/Silver-Spring/3210-Gleneagles-Dr-20906/unit-109-F/home/11088340,BRIGHT MLS,MDMC2021142,N,Y,39.101184,-77.065756
MLS Listing,,Single Family Residential,9615 New Hampshire Ave,Silver Spring,MD,20903,580000,4,3.0,ADELPHI HEIGHTS,1934,6251,1956,44,300,,Active,,,https://www.redfin.com/MD/Silver-Spring/9615-New-Hampshire-Ave-20903/home/10567059,BRIGHT MLS,MDMC2021412,N,Y,39.0135981,-76.977875
MLS Listing,,Condo/Co-op,9610 Dewitt Dr Ph 411,Silver Spring,MD,20910,354995,1,1.0,MAIN BUILDING CODM,1012,,1925,45,351,805,Active,,,https://www.redfin.com/MD/Silver-Spring/9610-Dewitt-Dr-20910/unit-411/home/28961905,BRIGHT MLS,MDMC2021386,N,Y,39.0121872,-77.0568152
MLS Listing,,Condo/Co-op,3439 S Leisure World Blvd Unit 84-2C,Silver Spring,MD,20906,129000,1,1.0,MONTGOMERY MUTUAL COOP,990,,1967,46,130,778,Active,,,https://www.redfin.com/MD/Silver-Spring/3439-S-Leisure-World-Blvd-20906/unit-84-2C/home/22048235,BRIGHT MLS,MDMC2019782,N,Y,39.0955659,-77.0675629
MLS Listing,,Condo/Co-op,2219 Washington Ave Unit W-202,Silver Spring,MD,20910,240000,1,1.0,ROCK CREEK APTS CODM 1,698,,1948,46,344,477,Active,,,https://www.redfin.com/MD/Silver-Spring/2219-Washington-Ave-20910/unit-W-202/home/176993726,BRIGHT MLS,MDMC2020744,N,Y,38.9934871,-77.048023
MLS Listing,,Condo/Co-op,1320 Fenwick Ln #303,Silver Spring,MD,20910,249900,1,1.0,DOWNTOWN SILVER SPRING,483,,1964,46,517,357,Active,,,https://www.redfin.com/MD/Silver-Spring/1320-Fenwick-Ln-20910/unit-303/home/108579924,BRIGHT MLS,MDMC2020962,N,Y,38.9968737,-77.0318435
MLS Listing,,Parking,1220 Blair Mill Rd #802,Silver Spring,MD,20910,229999,1,1.0,MICA CODM @ SILVER SPRIN,860,,1968,46,267,698,Active,,,https://www.redfin.com/MD/Silver-Spring/1220-Blair-Mill-Rd-20910/unit-802/home/11760737,BRIGHT MLS,MDMC2021140,N,Y,38.9894781,-77.0302241
MLS Listing,,Single Family Residential,326 Hannes St,Silver Spring,MD,20901,564999,4,2.5,NORTHWOOD PARK,2202,6107,1964,46,257,,Active,,,https://www.redfin.com/MD/Silver-Spring/326-Hannes-St-20901/home/10965440,BRIGHT MLS,MDMC2021134,N,Y,39.0325307,-77.0185504
MLS Listing,,Condo/Co-op,9610 Dewitt Dr Unit BALLROOM 413,Silver Spring,MD,20910,475000,3,2.5,MAIN BUILDING CODM,1653,,1925,46,287,983,Active,,,https://www.redfin.com/MD/Silver-Spring/9610-Dewitt-Dr-20910/unit-BALLROOM-413/home/176986509,BRIGHT MLS,MDMC2021138,N,Y,39.0121872,-77.0568152
MLS Listing,,Condo/Co-op,3320 Chiswick Unit 61-2C,Silver Spring,MD,20906,138500,2,1.0,MONTGOMERY MUTUAL COOP,1035,,1967,47,134,797,Active,,,https://www.redfin.com/MD/Silver-Spring/3320-Chiswick-Ct-20906/unit-61-2C/home/12053714,BRIGHT MLS,MDMC2001083,N,Y,39.0992292,-77.0669921
MLS Listing,,Condo/Co-op,2388 Sun Valley Cir Unit 2-PQ,Silver Spring,MD,20906,210000,2,2.0,KIMBERLY PLACE,1064,,1971,47,197,320,Active,,,https://www.redfin.com/MD/Silver-Spring/2388-Sun-Valley-Cir-20906/unit-2-PQ/home/11090193,BRIGHT MLS,MDMC2020952,N,Y,39.0920747,-77.0487661
